Rank,City,Country,2021,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,2020,2019,2018,2017
26,Rybnik, Poland,20.9,32.2,44.2,30.3,17.2,11.7,14.7,13.7,10.1,14.4,18.6,23.3,32.8,18.7,-,-,-
27,Olbrachcice, Poland,20.8,39.9,35.6,29.6,17.7,9.5,15.8,14.2,9.2,12.9,18.4,21,25.2,24.1,21.9,-,-
28,Zgierz, Poland,20.7,40.3,38.8,27.6,16.3,9.6,13.2,16.9,11.2,12.6,17,18.4,26.8,24.5,27,21.9,19.2
29,Kurdwanow, Poland,20.4,30,43.4,22.6,16.2,8.6,10.8,10.3,8,13.6,21.4,19.8,21.8,16.8,23.4,-,-
30,Koscierzyna, Poland,20.4,33.2,54.7,28,16.6,9.9,11.4,11.4,7.6,13.5,21.9,21.2,21.5,17.4,-,-,-
31,Kutno, Poland,20.3,33.3,43.3,26.9,17.8,8.5,10.7,10.7,8.6,11.9,18.8,23.6,31.2,16.2,-,-,-
32,Warszawa, Poland,20.2,35.6,34.1,20.7,14.9,8.7,12.1,14.6,10.8,14.5,20.4,24.6,31.9,19.2,19.3,-,-
33,Lodz, Poland,20.2,29.9,40.3,24.1,17.8,10.4,14,14.5,10.4,13.9,19.1,19.5,30.2,18.1,19.9,23.8,23.3
34,Zyrardow, Poland,20.2,32.3,41.3,25.6,17.5,9.2,12.1,12,9.7,12.3,20.5,22.9,28.3,16.7,17.8,26.6,23.8
35,Nisko, Poland,20.1,28.6,40.8,27.6,15.2,9,13,13.4,9.2,13.3,21.9,23.2,27.4,15.3,-,-,-
36,Wloclawek, Poland,20,31.6,45.9,25,16.5,9.9,12.3,12.7,10.2,12.3,19.6,20.2,25.8,17,22.8,-,-
37,Wroclaw, Poland,19.9,32,36.9,25.7,15.4,8.2,13.2,11.1,8.2,13.7,17.3,27.2,31.5,17.1,18.7,22.9,21.9
38,Szamotuly, Poland,19.8,-,-,35.5,20.3,10.5,13.3,11.6,7.6,12.3,23.5,29,41.5,-,-,-,-
39,Otwock, Poland,19.6,36.1,43.4,25.8,16.7,8.6,11.4,11,8.9,10.4,15.7,22.5,25.3,22.4,18.2,30.2,29.3
40,Radom, Poland,19.6,33.2,39.7,29,15.8,9,11.8,10.9,9.6,11.8,17.5,21.7,27.5,19.5,18.7,27.1,25.9
41,Konstancin-Jeziorna, Poland,19.4,32,36.5,23.1,16.3,9.6,11.4,11.9,9.1,11.1,19.7,25,27.2,15.8,15.9,21.8,21.6
42,Nysa, Poland,19.4,25.7,41.9,22.5,16.2,8.2,10.5,7.9,8.5,14.1,21.2,28.1,41.5,-,-,-,-
43,Jelenia Gora, Poland,19.3,28.6,34,25.3,15.5,8.5,12.8,10.6,8,12.2,17.8,23.9,35.1,19.6,20.1,21.3,21.8
44,Poznan, Poland,19.2,28.3,36.9,23.8,14,7.3,14.1,13.5,8.3,11.6,18.7,25.4,32.5,15.6,20.4,22,21.9
45,Torun, Poland,19.2,25.6,40.4,21.1,15.7,10.3,12.8,13.8,9.8,12.7,19.6,21.2,29.1,14.5,19.1,19.4,19.3
46,Legionowo, Poland,18.9,35.4,36.8,23.7,15.8,9.2,11.1,12.1,8.9,11.1,13.1,22.7,27.5,20.6,18.8,22.5,21.8
47,Jaroslaw, Poland,18.8,26.7,35.2,27.9,16.9,7.6,10.1,9.4,7.6,12.7,22.2,26,23.5,19.1,22.9,-,-
48,Zamosc, Poland,18.2,24,31,25.9,17.4,9.4,11.8,12.3,8.8,12.5,19.4,22.7,24.5,12.6,-,-,-
49,Warsaw, Poland,18.2,33.1,34.1,22.3,13.9,7.9,10.2,11.6,8.6,11,17.5,23.6,26.2,16.7,17.3,24.2,26.7
50,Solec Kujawski, Poland,18.1,21.5,47.7,28.1,13.6,6,9.1,10,5.6,9.1,18.1,21.6,30.8,-,-,-,-
51,Augustow, Poland,18.1,30.9,42.2,21.3,14,7.9,9.1,12.4,7.6,8.6,20.2,21.9,23.5,17.6,-,-,-
52,Piastow, Poland,18,32.4,34.6,23,15,8.6,11.5,11.3,8.9,10.8,16.7,20.4,23.2,17.8,19.2,19.5,24.4
53,Wawer, Poland,18,30.7,36.4,22.3,14.7,7.9,10.3,11,8.9,11,17.5,21.7,24.3,18.1,17.3,-,-
54,Ponik, Poland,17.8,27.5,34.4,22.2,16.1,10.9,12.3,11.6,9.7,12.1,16.1,18.3,23.1,15.2,12.8,17.7,17.2
55,Milicz, Poland,17.7,25.1,33.9,24.9,14.6,7.2,10.7,5.2,5,8.7,12.8,22.3,34.5,-,-,-,-
56,Krosno, Poland,17.3,21.1,26.1,23.3,16.8,8.7,12.2,12.3,7.9,11.5,18.7,21.3,27.7,-,-,-,-
57,Biskupiec, Poland,17.1,32.7,46,20.6,13.1,7.7,8.7,9.9,6.8,9.2,15.5,17.2,19.8,14.4,-,-,-
58,Ursus, Poland,16.8,30.7,32.2,20,13.7,7.9,10.4,10.6,8.5,10.4,16.1,20,22.6,17,17.9,-,-
59,Opatow, Poland,16.8,-,-,-,21.8,9.4,10.8,10.4,8.2,12.4,20.3,27.4,35.2,-,-,-,-
60,Plock, Poland,16.7,28.2,34.6,18.3,12.9,7.4,10,11,8.2,11.2,17.3,19.2,24,16.8,18.4,20.4,21.5
61,Gdansk, Poland,16.5,26,33.3,19.8,12.9,9.2,10.7,10.9,7,11.7,18.6,18.1,20.7,15,14.2,10.1,11.7
62,Gorzow Wielkopolski, Poland,16.3,19.4,34.1,20.9,12.8,8,12.3,10.5,6,10.6,14.2,19.6,31.6,12.7,-,-,-
63,Krzanowice, Poland,16.2,27,33.8,22.8,13.6,6.4,10.5,9.2,6.4,10.2,13.8,18.2,29.3,14.5,-,-,-
64,Gubin, Poland,16.1,28.9,38.1,15,7.4,7.2,12.6,10.4,7.2,10.8,16.5,18.9,23.8,-,-,-,-
65,Bialystok, Poland,16.1,25.5,31,17,13.4,9.2,12,12.8,9.1,11.1,17.2,17.6,17.7,13.8,13.7,16.3,17
66,Jaslo, Poland,15.9,23.3,33.9,24.1,13.1,6.3,7,6.4,5.2,10,16.8,19.8,25.3,13.2,-,-,-
67,Gdynia, Poland,15.1,24,24.1,18,12.2,10,11.5,11.7,7.7,10.7,16.5,17.2,19.7,12.7,-,-,-
68,Ciemniewo, Poland,15,27.4,28.3,14.7,11.2,7.9,9.7,10.9,8.4,9.5,17,18.5,18.7,12.9,-,-,-
69,Siedlce, Poland,14.8,29.6,32.8,20.3,12.5,7.2,7.4,6.7,5.3,8.6,12.4,16,20.5,15.7,16.3,22,22.2
70,Brzeg, Poland,14.6,-,-,-,19.8,9.4,13.7,10.6,7.2,12.1,16.3,22,26.4,-,-,-,-
71,Przemysl, Poland,14.6,28.1,37.7,24.6,14.1,7.1,10.6,12.1,5.4,4.1,7.2,18.4,22.2,18,20.9,23.1,25.7
72,Sandomierz, Poland,14.5,-,-,-,15.3,8.4,10.5,11.1,9.3,12.2,19.1,22.2,24.8,-,-,-,-
73,Sieniawa Zarska, Poland,13.9,17.9,24.7,19.6,11,8.5,11.4,9.9,7.1,9.4,13.5,16.1,17.9,13.3,14.6,-,-
74,Suwalki, Poland,13.7,22.2,28.4,14.4,9.4,7,8.6,12.5,7.6,8.5,14.9,15.6,15.9,11.1,12.6,-,-
75,Dzierzoniow, Poland,13.4,19.1,26.1,16.9,13.6,8.2,12.9,10.7,7.2,10.8,10.6,13.9,17.6,13.7,-,-,-
76,Olsztyn, Poland,13.4,23.4,27.4,15.7,10.6,7.1,9,10.1,6.8,7.7,13.9,14.5,15.9,14.1,15.5,20.3,17.9
77,Szczecin, Poland,13.4,13.2,22.1,16.9,11.6,8.8,12.3,10,6.4,10.4,13.1,16.2,21,13,15.6,18.6,19.2
78,Grajewo, Poland,13.2,-,-,-,12.6,8.8,9.9,12.2,8.5,9.9,18.3,20.5,19.4,15.1,-,-,-
79,Bydgoszcz, Poland,13.1,20.7,31.6,15.7,9.8,6.1,7.4,8.5,5.5,7.3,12.6,13.9,19,15.8,21.7,24.2,20.7
80,Sopot, Poland,12.7,-,-,17.8,12.2,10.3,11.8,12.1,8.4,11.4,14.6,15,16.6,-,-,-,-
81,Zielona Gora, Poland,11.7,16.3,22.4,13.2,9.4,6.1,9.1,8,6,8.3,10.4,15.6,17,10.6,13.8,16.9,15.3
82,Elblag, Poland,11.6,20.8,25.8,14.5,10.3,6.8,7.1,7.3,5,6.8,10.7,11.4,13.4,12.1,14.4,-,-
83,Dzialoszyn, Poland,11.5,11.9,15.7,14.2,10.3,9.5,13.2,10.7,9.4,10.3,12.6,12.6,9.9,11.5,-,-,-
84,Ustka, Poland,11.3,15.9,25.4,15.1,9.2,6.9,9.5,9.3,5,9.3,13.8,9.1,3,-,15.9,-,-
85,Ostroda, Poland,10.8,22.2,23.6,14.6,12.3,5.2,5.5,7.6,2.9,5.1,10.7,11.4,15.1,11.7,-,-,-
86,Ustron, Poland,10.4,14.6,19.9,14.7,11.1,6.5,8.4,8.1,5.1,6.9,8.3,9.7,15.5,8.8,-,-,-
87,Rymanow-Zdroj, Poland,10.4,19.7,18.7,14.3,8.2,4.6,7.1,8.5,5.1,7,10,10.4,11.6,11.7,15.8,14.6,18.2
88,Elk, Poland,9.4,18.7,15.2,11.2,9.7,5.5,7.6,8.9,5.1,6.3,10.1,9.9,10.6,12.3,-,-,-
89,Kolobrzeg, Poland,8.8,-,-,-,7.7,7.2,10,9.2,5.7,8.8,9.5,10.4,11.4,-,-,-,-
90,Nowa Swidzialowka, Poland,8,15.8,15.3,8,6.1,3.5,6.3,8.2,4.4,3.9,8.6,9.8,9.8,9.2,13.4,-,-
